username,attention_score
GeorgeInSolana,57.11492375351504
GuigsLuke,782.1777017444036
Gyokeres_eth,385.5793159660244
hedacool,674.1333196162334
heycape_,2190.5358663245675
Jackhaldorsson,1243.210954481426
Jef_web3X,554.9532190825091
Jessicalevi13,417.73991687240624
kimmoonsoon,1.6852918313151697
LukeAlwaysAwake,328.1741476073103
MidMare__,0.7137898730949398
Montiweb3,618.7087060979161
MOODOO_Diary,984.7371314994311
MurinXDA,5.238966172758088
Natalia77351991,82.56727790322343
Nexory96,10.257313424820364
ni_celeb,818.6294293561624
Nobody_344_,0.6094562546299918
notsonormal___,4.443842881235835
OlimpioCrypto,2470.4157666270294
OxTochi,2706.48918704743
Picolas_Caged,3964.168689598556
quinnbear_,0.966332494905837
RamTn1,10.025576263832166
rob_inwoods,570.806318296999
ruggedpikachu,900.1939253900473
sam6170,138.45445248666408
SH_8823,149.09259596111374
sokot2260,0.8344673787941304
sonyhexe,0.4706220159245171
